product_id,store_id,date,sales,product_name
4,6,1997-01-01,4,Washington Cream Soda
4,7,1997-01-05,3,Washington Cream Soda
4,6,1997-01-06,2,Washington Cream Soda
4,17,1997-01-11,2,Washington Cream Soda
4,24,1997-01-11,2,Washington Cream Soda
4,17,1997-01-16,3,Washington Cream Soda
4,23,1997-01-25,3,Washington Cream Soda
4,17,1997-01-29,3,Washington Cream Soda
4,23,1997-02-07,4,Washington Cream Soda
4,24,1997-02-16,3,Washington Cream Soda
4,15,1997-02-19,3,Washington Cream Soda
4,13,1997-02-22,2,Washington Cream Soda
4,13,1997-02-26,2,Washington Cream Soda
4,13,1997-03-13,3,Washington Cream Soda
4,7,1997-04-05,3,Washington Cream Soda
4,24,1997-04-05,3,Washington Cream Soda
4,6,1997-04-14,3,Washington Cream Soda
4,13,1997-04-14,2,Washington Cream Soda
4,16,1997-05-05,3,Washington Cream Soda
4,17,1997-05-05,2,Washington Cream Soda
4,13,1997-05-09,4,Washington Cream Soda
4,15,1997-05-21,4,Washington Cream Soda
4,17,1997-05-29,3,Washington Cream Soda
4,3,1997-06-03,3,Washington Cream Soda
4,11,1997-06-03,2,Washington Cream Soda
4,24,1997-06-04,4,Washington Cream Soda
4,13,1997-06-06,4,Washington Cream Soda
4,15,1997-06-15,2,Washington Cream Soda
4,3,1997-06-22,3,Washington Cream Soda
4,6,1997-07-01,2,Washington Cream Soda
4,11,1997-07-23,3,Washington Cream Soda
4,13,1997-07-27,3,Washington Cream Soda
4,17,1997-07-27,7,Washington Cream Soda
4,13,1997-07-28,2,Washington Cream Soda
4,17,1997-08-14,4,Washington Cream Soda
4,16,1997-08-16,2,Washington Cream Soda
4,11,1997-08-23,3,Washington Cream Soda
4,15,1997-08-28,3,Washington Cream Soda
4,11,1997-09-07,3,Washington Cream Soda
4,15,1997-09-18,5,Washington Cream Soda
4,23,1997-10-04,2,Washington Cream Soda
4,13,1997-10-05,2,Washington Cream Soda
4,17,1997-10-06,3,Washington Cream Soda
4,15,1997-10-16,2,Washington Cream Soda
4,3,1997-10-22,4,Washington Cream Soda
4,7,1997-11-01,2,Washington Cream Soda
4,24,1997-11-14,4,Washington Cream Soda
4,2,1997-11-18,2,Washington Cream Soda
4,17,1997-11-21,2,Washington Cream Soda
4,17,1997-11-22,3,Washington Cream Soda
4,16,1997-12-05,3,Washington Cream Soda
4,24,1997-12-11,2,Washington Cream Soda
4,15,1997-12-16,3,Washington Cream Soda
25,6,1997-01-01,3,Blue Label Chicken Noodle Soup
25,13,1997-01-11,3,Blue Label Chicken Noodle Soup
25,16,1997-01-21,5,Blue Label Chicken Noodle Soup
25,17,1997-01-26,3,Blue Label Chicken Noodle Soup
25,15,1997-01-27,2,Blue Label Chicken Noodle Soup
25,22,1997-01-27,1,Blue Label Chicken Noodle Soup
25,11,1997-02-05,3,Blue Label Chicken Noodle Soup
25,14,1997-02-20,2,Blue Label Chicken Noodle Soup
25,13,1997-02-26,3,Blue Label Chicken Noodle Soup
25,13,1997-03-02,3,Blue Label Chicken Noodle Soup
25,16,1997-03-10,4,Blue Label Chicken Noodle Soup
25,15,1997-03-15,5,Blue Label Chicken Noodle Soup
25,13,1997-03-21,8,Blue Label Chicken Noodle Soup
25,24,1997-03-27,4,Blue Label Chicken Noodle Soup
25,15,1997-04-02,3,Blue Label Chicken Noodle Soup
25,24,1997-04-03,3,Blue Label Chicken Noodle Soup
25,17,1997-04-07,2,Blue Label Chicken Noodle Soup
25,11,1997-04-10,3,Blue Label Chicken Noodle Soup
25,17,1997-04-13,4,Blue Label Chicken Noodle Soup
25,13,1997-05-05,4,Blue Label Chicken Noodle Soup
25,15,1997-05-21,3,Blue Label Chicken Noodle Soup
25,15,1997-05-27,3,Blue Label Chicken Noodle Soup
25,11,1997-06-18,6,Blue Label Chicken Noodle Soup
25,11,1997-06-19,4,Blue Label Chicken Noodle Soup
25,14,1997-06-21,2,Blue Label Chicken Noodle Soup
25,17,1997-07-02,3,Blue Label Chicken Noodle Soup
25,16,1997-07-04,4,Blue Label Chicken Noodle Soup
25,13,1997-07-06,4,Blue Label Chicken Noodle Soup
25,17,1997-07-06,3,Blue Label Chicken Noodle Soup
